"X--Trace 1::[V(5), rr4]","Y--Trace 1::[V(5), rr4]","X--Trace 2::[I(R4), rr4]","Y--Trace 2::[I(R4), rr4]"
0,2.03E-15,0,0.00203266
404.04,0.821205,404.04,0.00203248
808.081,1.64227,808.081,0.0020323
1212.12,2.46318,1212.12,0.00203212
1616.16,3.28394,1616.16,0.00203194
2020.2,4.10455,2020.2,0.00203175
2424.24,4.925,2424.24,0.00203156
2828.28,5.7453,2828.28,0.00203138
3232.32,6.56544,3232.32,0.00203119
3636.36,7.38543,3636.36,0.00203099
4040.4,8.20525,4040.4,0.0020308
4444.44,9.0249,4444.44,0.0020306
4848.48,9.84439,4848.48,0.00203041
5252.53,10.6637,5252.53,0.00203021
5656.57,11.4829,5656.57,0.00203001
6060.61,12.3019,6060.61,0.00202981
6464.65,13.1207,6464.65,0.0020296
6868.69,13.9393,6868.69,0.00202939
7272.73,14.7577,7272.73,0.00202919
7676.77,15.576,7676.77,0.00202898
8080.81,16.3941,8080.81,0.00202876
8484.85,17.2119,8484.85,0.00202855
8888.89,18.0296,8888.89,0.00202833
9292.93,18.8471,9292.93,0.00202811
9696.97,19.6644,9696.97,0.00202789
10101,20.4815,10101,0.00202767
10505.1,21.2985,10505.1,0.00202745
10909.1,22.1151,10909.1,0.00202722
11313.1,22.9315,11313.1,0.00202699
11717.2,23.7479,11717.2,0.00202676
12121.2,24.5639,12121.2,0.00202652
12525.3,25.3798,12525.3,0.00202629
12929.3,26.1954,12929.3,0.00202605
13333.3,27.0107,13333.3,0.0020258
13737.4,27.8259,13737.4,0.00202556
14141.4,28.6408,14141.4,0.00202531
14545.5,29.4555,14545.5,0.00202506
14949.5,30.2699,14949.5,0.00202481
15353.5,31.084,15353.5,0.00202455
15757.6,31.898,15757.6,0.0020243
16161.6,32.7116,16161.6,0.00202403
16565.7,33.5252,16565.7,0.00202377
16969.7,34.3382,16969.7,0.0020235
17373.7,35.151,17373.7,0.00202323
17777.8,35.9637,17777.8,0.00202296
18181.8,36.776,18181.8,0.00202268
18585.9,37.5881,18585.9,0.0020224
18989.9,38.3998,18989.9,0.00202212
19393.9,39.2112,19393.9,0.00202183
19798,40.0224,19798,0.00202154
20202,40.8332,20202,0.00202124
20606.1,41.6438,20606.1,0.00202095
21010.1,42.4539,21010.1,0.00202064
21414.1,43.2637,21414.1,0.00202034
21818.2,44.0733,21818.2,0.00202003
22222.2,44.8824,22222.2,0.00201971
22626.3,45.6914,22626.3,0.00201939
23030.3,46.4998,23030.3,0.00201907
23434.3,47.3078,23434.3,0.00201874
23838.4,48.1157,23838.4,0.00201841
24242.4,48.923,24242.4,0.00201807
24646.5,49.7301,24646.5,0.00201773
25050.5,50.5364,25050.5,0.00201738
25454.5,50.7721,25454.5,0.00199462
25858.6,50.8142,25858.6,0.00196508
26262.6,50.8458,26262.6,0.00193606
26666.7,50.8733,26666.7,0.00190775
27070.7,50.8982,27070.7,0.0018802
27474.7,50.9215,27474.7,0.0018534
27878.8,50.9435,27878.8,0.00182732
28282.8,50.9644,28282.8,0.00180196
28686.9,50.9844,28686.9,0.00177727
29090.9,51.0035,29090.9,0.00175325
29494.9,51.022,29494.9,0.00172986
29899,51.0398,29899,0.00170707
30303,51.0571,30303,0.00168488
30707.1,51.0737,30707.1,0.00166326
31111.1,51.0899,31111.1,0.00164218
31515.2,51.1056,31515.2,0.00162162
31919.2,51.1208,31919.2,0.00160157
32323.2,51.1356,32323.2,0.00158201
32727.3,51.15,32727.3,0.00156292
33131.3,51.164,33131.3,0.00154428
33535.4,51.1777,33535.4,0.00152608
33939.4,51.191,33939.4,0.0015083
34343.4,51.2039,34343.4,0.00149094
34747.5,51.2165,34747.5,0.00147396
35151.5,51.2289,35151.5,0.00145737
35555.6,51.2409,35555.6,0.00144115
35959.6,51.2526,35959.6,0.00142528
36363.6,51.2641,36363.6,0.00140976
36767.7,51.2753,36767.7,0.00139458
37171.7,51.2863,37171.7,0.00137971
37575.8,51.297,37575.8,0.00136516
37979.8,51.3075,37979.8,0.00135091
38383.8,51.3177,38383.8,0.00133696
38787.9,51.3277,38787.9,0.00132329
39191.9,51.3375,39191.9,0.0013099
39596,51.3472,39596,0.00129678
40000,51.3566,40000,0.00128391
